#Organism/Name	taxid	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Assembly Accession	Replicons	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession
Drosophila melanogaster	7227	PRJEB50024	797347	Animals	Insects	130.593	42.1	GCA_927717585.1	-	CAKMKQ01	110	-	-	2022/01/24	2022/01/24	Scaffold	treep lbbe ucbl	SAMEA12280227
Phytopythium vexans	907947	PRJNA796576	796576	Protists	Other Protists	39.4492	58	GCA_022023675.1	-	JAKLCF01	14438	-	-	2022/02/07	2022/02/10	Scaffold	Agriculture and Agri-food Canada	SAMN24899379
Aspergillus oryzae	5062	PRJDB7763	588985	Fungi	Ascomycetes	37.9609	47.3	GCA_009685095.1	-	BIYU01	127	-	-	2019/11/13	2019/11/13	Scaffold	Tokyo Institute of Technology	SAMD00154435
Cardiocondyla obscurior	286306	PRJNA680013	680013	Animals	Insects	193.051	41	GCA_019399895.1	-	JADYXP01	127	-	-	2021/07/29	2021/07/29	Scaffold	University of Muenster	SAMN16869678
Apodemia mejicanus	1729663	PRJNA606954	606954	Animals	Insects	198.573	35	GCA_018236045.1	-	DVYH01	604822	-	-	2021/05/03	2022/02/17	Contig	Florida Museum of Natural History	SAMN12776897
Torulaspora pretoriensis	35629	PRJNA623867	623867	Fungi	Ascomycetes	9.27695	44.5	GCA_012851155.1	-	JABBEM01	107	-	-	2020/04/27	2020/04/27	Scaffold	University College Dublin	SAMN14559809
Homo sapiens	9606	PRJNA611418	611418	Animals	Mammals	2926.14	40.4	GCA_015148335.1	-	JADDCS01	18574	-	-	2020/10/30	2020/10/30	Scaffold	University of California, San Francisco	SAMN14253759
Accipiter hiogaster	2868207	PRJNA754279	754279	Animals	Birds	1223.02	41.2	GCA_024363185.1	-	JANCIS01	105681	-	-	2022/07/21	2022/07/21	Scaffold	Iridian Genomes	SAMN22787038
[Candida] golubevii	1323752	PRJNA429441	429441	Fungi	Ascomycetes	14.9375	45.1	GCA_003708755.1	-	PPPB01	882	-	-	2018/10/31	2019/03/08	Scaffold	UW-Madison	SAMN08343250
Ceratocystis eucalypticola	633669	PRJNA294286	294286	Fungi	Ascomycetes	30.7179	48.1	GCA_001513815.1	-	LJOA01	959	-	-	2016/01/13	2016/01/13	Scaffold	University of pretoria	SAMN04019022
Phytophthora pistaciae	174576	PRJNA746351	746351	Protists	Other Protists	63.1256	54.1	GCA_024679115.1	-	JAIKVE01	10391	-	-	2022/08/15	2022/08/15	Scaffold	Oregon State University	SAMN20204294
Venturia inaequalis	5025	PRJNA407103	407103	Fungi	Ascomycetes	44.4932	-	GCA_003690235.1	-	QWXT01	11220	-	-	2018/10/26	2018/10/26	Scaffold	INRA	SAMN07816579
Zygosaccharomyces rouxii	4956	PRJNA784295	784295	Fungi	Ascomycetes	9.95216	39.1	GCA_021535285.1	-	JAKETS01	8	5275	5001	2022/01/20	2022/01/20	Contig	DOE Joint Genome Institute	SAMN23482083
Columbina picui	115618	PRJNA545868	545868	Animals	Birds	1097.92	38.3	GCA_013397635.1	-	VYZG01	13415	14192	12298	2020/07/10	2020/07/10	Scaffold	B10K Consortium	SAMN12253927
Phenganax subtilis	2614787	PRJNA647552	647552	Animals	Other Animals	880.046	46	GCA_025434845.1	-	JAOBYK01	1264191	-	-	2022/09/27	2022/09/27	Scaffold	Iridian Genomes	SAMN15589954
Aspergillus lentulus	293939	PRJDB8156	531112	Fungi	Ascomycetes	31.2257	49.4	GCA_010724635.1	-	BLKJ01	660	10677	10460	2020/02/04	2020/02/05	Scaffold	Medical Mycology Research Center	SAMD00166945
Rhodamnia argentea	178133	PRJNA836871	836871	Plants	Land Plants	346.714	40.3758	GCA_020921035.1	chromosome 1:NC_063150.1/CM037163.1; chromosome 2:NC_063151.1/CM037164.1; chromosome 3:NC_063152.1/CM037165.1; chromosome 4:NC_063153.1/CM037166.1; chromosome 5:NC_063154.1/CM037167.1; chromosome 6:NC_063155.1/CM037168.1; chromosome 7:NC_063156.1/CM037169.1; chromosome 8:NC_063157.1/CM037170.1; chromosome 9:NC_063158.1/CM037171.1; chromosome 10:NC_063159.1/CM037172.1; chromosome 11:NC_063160.1/CM037173.1	JAJJMR01	75	28440	38931	2021/11/22	2021/11/22	Chromosome	NCBI	SAMN19698777
Aspergillaceae sp. PF1803	2940349	PRJNA833221	833221	Fungi	Ascomycetes	40.24	48	GCA_023626575.1	-	JAMAGZ01	1741	-	-	2022/06/01	2022/06/01	Scaffold	Dalian Medical University	SAMN27963486
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.1529	38.3721	GCA_001740075.1	chromosome I:CM006255.1; chromosome II:CM006256.1; chromosome III:CM006257.1; chromosome IV:CM006258.1; chromosome V:CM006259.1; chromosome VI:CM006260.1; chromosome VII:CM006261.1; chromosome VIII:CM006262.1; chromosome IX:CM006263.1; chromosome X:CM006264.1; chromosome XI:CM006265.1; chromosome XII:CM006266.1; chromosome XIII:CM006267.1; chromosome XIV:CM006268.1; chromosome XV:CM006269.1; chromosome XVI:CM006270.1	MBXW01	395	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190419
Petunia axillaris subsp. parodii	55890	PRJNA533335	533335	Plants	Land Plants	2199.86	12.9	GCA_013625405.1	-	JACAFL01	225603	-	-	2020/07/24	2020/07/24	Scaffold	University of Bern	SAMN15300427
Entodinium bursa	358014	PRJNA777442	777442	Protists	Other Protists	69.2214	21.6	GCA_023807005.1	-	JAJJLR01	31332	-	-	2022/06/19	2022/06/19	Contig	Northwest Agriculture and Forestry University	SAMN22862958
Plasmodium falciparum NF135/5.C10	1036726	PRJNA67487	67487	Protists	Apicomplexans	24.499	22.8	GCA_000521075.1	-	AOPS01	234	6332	6349	2014/01/16	2014/01/17	Scaffold	Broad Institute	SAMN00768929
Botryosphaeria dothidea	55169	PRJNA777748	777748	Fungi	Ascomycetes	55.792	56.7	GCA_023089275.1	-	JAJNLX01	500	-	-	2022/04/21	2022/04/21	Scaffold	Shandong Agricultural University	SAMN22899212
Aspergillus flavus	5059	PRJNA639008	639008	Fungi	Ascomycetes	38.3582	47	GCA_024674045.1	-	JANAYG01	517	-	-	2022/08/15	2022/08/15	Scaffold	University of Wisconsin Madison	SAMN15220940
Seira ritae	2016761	PRJNA656897	656897	Animals	Insects	70.8826	36.9	GCA_027744415.1	-	JAHZNI01	4339	-	-	2023/01/11	2023/01/11	Scaffold	Nanjing Agricultural University	SAMN15806926
Martiniozyma abietophila	324742	PRJNA429441	429441	Fungi	Ascomycetes	16.224	27.9	GCA_003705535.2	-	PPIT02	11407	-	-	2018/10/31	2019/03/08	Scaffold	UW-Madison	SAMN08343418
Saccharomyces paradoxus	27291	PRJNA761003	761003	Fungi	Ascomycetes	11.7091	38.3	GCA_021403695.1	-	JAIUYZ01	312	-	-	2022/01/10	2022/01/10	Scaffold	Institute of Microbiology, Chinese Academy of Sciences	SAMN21240377
Serpula lacrymans var. lacrymans	341189	PRJNA655420	655420	Fungi	Basidiomycetes	39.4376	44.5	GCA_015708795.1	-	JACJFS01	1827	-	-	2020/12/01	2020/12/01	Scaffold	Helmholtz Centre for Environmental Research	SAMN15735168
Perkinsus olseni	32597	PRJNA554963	554963	Protists	Other Protists	63.1003	51.5	GCA_013115135.1	-	JABANP01	1358	17342	15639	2020/05/18	2020/05/18	Scaffold	NSW Department of Primary Industries	SAMN12288125
Ramaria cf. rubripermanens	2016387	PRJNA454572	454572	Fungi	Basidiomycetes	85.574	-	GCA_003316465.1	-	QFFB01	25797	-	-	2018/07/13	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010682
Arabidopsis thaliana	3702	PRJEB23084	430541	Plants	Land Plants	119.75	36.1	GCA_900303345.1	-	OMOK01	78	-	-	2018/03/09	2018/03/09	Contig	MPI FOR DEVELOPMENTAL BIOLOGY	SAMEA104665749
Puccinia striiformis f. sp. tritici	168172	PRJNA595754	595754	Fungi	Basidiomycetes	52.1262	44.4	GCA_011750625.1	-	WXWY01	1176	-	-	2020/03/25	2020/03/25	Contig	Australian National University	SAMN12098061
Crithidia mellificae	796356	PRJNA319524	319524	Protists	Kinetoplasts	67.4411	-	GCA_002216535.1	-	MDUE01	15033	-	-	2017/07/11	2017/07/11	Scaffold	University of Massachusetts	SAMN04893576
Yarrowia divulgata	479095	PRJNA429441	429441	Fungi	Ascomycetes	21.4445	50.2	GCA_003708045.1	-	PPMY01	488	-	-	2018/10/31	2019/03/08	Scaffold	UW-Madison	SAMN08343307
Bursera cuneata	80294	PRJNA828589	828589	Plants	Land Plants	252.901	34.7	GCA_026212285.1	-	JANLJB01	70005	-	-	2022/11/16	2022/11/16	Scaffold	Instituto de Ecologia A.C	SAMN27676928
Corinectria fuckeliana	930093	PRJNA472761	472761	Fungi	Ascomycetes	39.0147	52.2	GCA_003385255.1	-	QGQC01	1399	-	-	2018/08/14	2018/08/14	Scaffold	USDA-ARS	SAMN09242088
Saitozyma podzolica	1890683	PRJEB34750	596143	Fungi	Basidiomycetes	31.9049	60.5	GCA_902501145.1	-	CABVTF01	198	-	-	2019/12/16	2019/12/16	Scaffold	UNIVERSITY OF NOTTINGHAM	SAMEA6056412
Solanum chilense	4083	PRJNA809001	809001	Plants	Land Plants	916.201	34.6	GCA_027704845.1	-	JAKWIW01	2050	-	-	2023/01/11	2023/01/11	Scaffold	Cornell University	SAMN26137346
Harlomillsia oculata	707269	PRJNA542559	542559	Animals	Insects	119.226	39.1	GCA_019776145.1	-	JABASF01	11495	-	-	2021/08/26	2021/08/26	Scaffold	Nanjing Agricultural University	SAMN14540289
Gallus gallus	9031	PRJNA777393	777393	Animals	Birds	1036.34	42.1725	GCA_024653045.1	chromosome 1:CM045316.1; chromosome 2:CM045317.1; chromosome 3:CM045318.1; chromosome 4:CM045319.1; chromosome 5:CM045320.1; chromosome 6:CM045321.1; chromosome 7:CM045322.1; chromosome 8:CM045323.1; chromosome 9:CM045324.1; chromosome 10:CM045325.1; chromosome 11:CM045326.1; chromosome 12:CM045327.1; chromosome 13:CM045328.1; chromosome 14:CM045329.1; chromosome 15:CM045330.1; chromosome 16:CM045331.1; chromosome 17:CM045332.1; chromosome 18:CM045333.1; chromosome 19:CM045334.1; chromosome 20:CM045335.1; chromosome 21:CM045336.1; chromosome 22:CM045337.1; chromosome 23:CM045338.1; chromosome 24:CM045339.1; chromosome 25:CM045340.1; chromosome 26:CM045341.1; chromosome 27:CM045342.1; chromosome 28:CM045343.1; chromosome 30:CM045344.1; chromosome 31:CM045345.1; chromosome 32:CM045346.1; chromosome 33:CM045347.1; chromosome W:CM045348.1; chromosome Z:CM045349.1	JAJMOL01	1194	-	-	2022/08/14	2022/08/15	Chromosome	College of Animal Science and Technology, Northwest A&F University	SAMN20335981
Phylloscopus trochiloides viridanus	144762	PRJNA238808	238808	Animals	Birds	1003.33	41.4	GCA_001655095.1	-	LXPA01	158605	-	-	2016/06/02	2016/06/02	Scaffold	The University of British Columbia	SAMN02646017
Hymenoscyphus salicellus	1735279	PRJNA297737	297737	Fungi	Ascomycetes	57.9527	44.4	GCA_001414355.1	-	LLCD01	9749	-	-	2015/10/27	2015/10/27	Contig	University of Exeter	SAMN04145413
Saccharomyces cerevisiae	4932	PRJNA323691	323691	Fungi	Ascomycetes	12.8221	38.3781	GCA_001737175.1	chromosome I:CM004719.1; chromosome II:CM004720.1; chromosome III:CM004721.1; chromosome IV:CM004722.1; chromosome V:CM004723.1; chromosome VI:CM004724.1; chromosome VII:CM004725.1; chromosome VIII:CM004726.1; chromosome IX:CM004727.1; chromosome X:CM004728.1; chromosome XI:CM004729.1; chromosome XII:CM004730.1; chromosome XIII:CM004731.1; chromosome XIV:CM004732.1; chromosome XV:CM004733.1; chromosome XVI:CM004734.1	MBUC01	1050	-	-	2016/09/12	2016/09/21	Chromosome	VIB/KULeuven	SAMN05190517
Trypanosoma cruzi	5693	PRJNA433042	433042	Protists	Kinetoplasts	53.2719	51.6	GCA_003177105.1	-	PRFA01	636	19091	15319	2018/05/30	2018/05/30	Contig	Institut Pasteur de Montevideo	SAMN08469708
Monascus purpureus	5098	PRJNA453427	453427	Fungi	Ascomycetes	24.1474	49.1808	GCA_003184285.1	chromosome I:CM009898.1; chromosome II:CM009899.1; chromosome III:CM009900.1; chromosome IV:CM009901.1; chromosome V:CM009902.1; chromosome VI:CM009903.1; chromosome VII:CM009904.1; chromosome VIII:CM009905.1	QDGY01	33	-	-	2018/06/04	2018/06/04	Chromosome	Tianjin University of Science and Technology	SAMN08978766
Venturia inaequalis	5025	PRJNA354841	354841	Fungi	Ascomycetes	72.3104	42.8	GCA_003351075.1	-	QFBF01	238	13738	13741	2018/07/31	2018/07/31	Contig	NIAB EMR	SAMN06053462
Saccharomyces boulardii (nom. inval.)	252598	PRJNA271636	271636	Fungi	Ascomycetes	11.5861	38.1	GCA_021216695.1	-	JXBM01	28	-	-	2021/12/16	2021/12/16	Scaffold	National University of Singapore	SAMN03275697
Talaromyces funiculosus	28572	PRJNA833221	833221	Fungi	Ascomycetes	28.1353	46.8	GCA_023623855.1	-	JAMADJ01	258	-	-	2022/06/01	2022/06/01	Scaffold	Dalian Medical University	SAMN27963505
Fusarium xylarioides	221167	PRJNA659227	659227	Fungi	Ascomycetes	62.2807	40.9	GCA_018296345.1	-	JADFTX01	20717	14568	14582	2021/05/06	2021/05/06	Contig	Imperial College London	SAMN15901615
Phytophthora ramorum	164328	PRJNA745999	745999	Protists	Other Protists	55.707	54.5	GCA_020800205.1	-	JAICDY01	218	-	-	2021/11/08	2021/11/08	Contig	USDA ARS	SAMN19730093
Catharus ustulatus	91951	PRJNA613294	613294	Animals	Birds	1131.62	42.5641	GCA_009819885.2	chromosome 1:NC_046221.1/CM020336.1; chromosome 2:NC_046222.1/CM020337.1; chromosome 3:NC_046223.1/CM020338.1; chromosome 4:NC_046224.1/CM020339.1; chromosome 5:NC_046225.1/CM020340.1; chromosome 6:NC_046226.1/CM020341.1; chromosome 7:NC_046227.1/CM020342.1; chromosome 8:NC_046228.1/CM020343.1; chromosome 9:NC_046229.1/CM020344.1; chromosome 10:NC_046230.1/CM020345.1; chromosome 11:NC_046231.1/CM020346.1; chromosome 12:NC_046232.1/CM020347.1; chromosome 13:NC_046233.1/CM020348.1; chromosome 14:NC_046234.1/CM020349.1; chromosome 15:NC_046235.1/CM020350.1; chromosome 16:NC_046236.1/CM020351.1; chromosome 17:NC_046237.1/CM020352.1; chromosome 18:NC_046238.1/CM020353.1; chromosome 20:NC_046240.1/CM020355.1; chromosome 21:NC_046241.1/CM020356.1; chromosome 22:NC_046242.1/CM020357.1; chromosome 23:NC_046243.1/CM020358.1; chromosome 24:NC_046244.1/CM020359.1; chromosome 25:NC_046245.1/CM020360.1; chromosome 26:NC_046246.1/CM020361.1; chromosome 27:NC_046247.1/CM020362.1; chromosome 28:NC_046248.1/CM020363.1; chromosome 29:NC_046249.1/CM020364.1; chromosome 30:NC_046250.1/CM020365.1; chromosome 31:NC_046251.1/CM020366.1; chromosome 32:NC_046252.1/CM020367.1; chromosome 33:NC_046253.1/CM020368.1; chromosome 34:NC_046254.1/CM020369.1; chromosome 35:NC_046255.1/CM020370.1; chromosome 36:NC_046256.1/CM020371.1; chromosome 37:NC_046257.1/CM020372.1; chromosome 38:NC_046258.1/CM020373.1; chromosome 39:NC_046259.1/CM020374.1; chromosome 40:NC_046260.1/CM020375.1; chromosome W:NC_046261.2/CM020377.2; chromosome Z:NC_046262.2/CM020376.2; mitochondrion MT:CM020378.1	WNMQ02	160	19631	36071	2019/12/23	2020/12/22	Chromosome	NCBI	SAMN12618602
Neoboletus magnificus	374759	PRJNA454572	454572	Fungi	Basidiomycetes	40.0589	-	GCA_003316145.1	-	QFEI01	7975	-	-	2018/07/13	2018/07/13	Scaffold	Kunming University of Science and Technology	SAMN09010637
Triticum dicoccoides	85692	PRJEB25714	472928	Plants	Land Plants	477.083	43.8	GCA_900323615.1	-	OOGX01	350258	-	-	2018/05/26	2018/05/26	Scaffold	Hikmet Budak	SAMEA104717680
Rhodotorula mucilaginosa	5537	PRJNA723004	723004	Fungi	Basidiomycetes	20.0746	60	GCA_019190145.1	-	JAHAQE01	194	-	-	2021/07/09	2021/07/09	Scaffold	Jet Propulsion Laboratory, California Institute of Technology	SAMN18883806
Pyricularia oryzae	318829	PRJNA320483	320483	Fungi	Ascomycetes	40.2195	49.1	GCA_002925325.1	-	PJYW01	3120	-	-	2018/02/08	2018/02/08	Scaffold	International Wheat Blast Consortium	SAMN08009547
Spraguea lophii	51541	PRJNA269798	269798	Fungi	Other Fungi	7.67863	23	GCA_011074935.1	-	JAABPM01	3815	-	-	2020/03/09	2020/03/09	Contig	Newcastle University	SAMN03257634
Zymoseptoria tritici	1047171	PRJNA645795	645795	Fungi	Ascomycetes	38.5702	52.293	GCA_017766425.1	chromosome 1:CP062541.1; chromosome 2:CP062542.1; chromosome 3:CP062543.1; chromosome 4:CP062544.1; chromosome 5:CP062545.1; chromosome 6:CP062546.1; chromosome 7:CP062547.1; chromosome 8:CP062548.1; chromosome 9:CP062549.1; chromosome 10:CP062550.1; chromosome 11:CP062551.1; chromosome 12:CP062552.1; chromosome 13:CP062553.1; chromosome 14:CP062554.1; chromosome 16:CP062555.1; chromosome 18:CP062556.1; chromosome 19:CP062557.1; chromosome 20:CP062558.1; chromosome 21:CP062559.1	-	19	-	-	2021/04/05	2021/04/05	Chromosome	University of Neuchatel	SAMN15516637
Nicotiana tabacum	4097	PRJNA319578	319578	Plants	Land Plants	3643.47	39.2006	GCA_000715135.1	mitochondrion MT:NC_006581.1/; plastid Pltd:NC_001879.2/	AYMY01	168247	74273	84255	2014/05/29	2015/04/28	Scaffold	NCBI	SAMN02316627
Symsagittifera roscoffensis	84072	PRJNA867535	867535	Animals	Other Animals	1103.03	24.5	GCA_025153585.1	mitochondrion MT:CM045921.1	JANVAR01	3460	-	-	2022/09/12	2022/09/12	Scaffold	University Medical Center Groningen	SAMN30207694
Geotrichum candidum	1173061	PRJNA755896	755896	Fungi	Ascomycetes	24.8874	41.3	GCA_020466505.1	-	JAIJZT01	3483	-	-	2021/10/13	2021/10/13	Scaffold	Yunnan Minzu University	SAMN20846412
Ophiognomonia clavigignenti-juglandacearum	218668	PRJNA369517	369517	Fungi	Ascomycetes	49.6476	51.9	GCA_003013035.1	-	MUZL01	3834	-	-	2018/03/21	2018/03/21	Contig	USDA-ARS	SAMN06288067
Giraffa camelopardalis	9894	PRJNA438286	438286	Animals	Mammals	2473.18	40.2	GCA_006408565.1	-	SJXV01	78945	-	-	2019/06/24	2019/06/24	Scaffold	Northwestern Polytechnical University	SAMN08714473
Hieraaetus ayresii	252783	PRJNA815164	815164	Animals	Birds	1310.95	41.8	GCA_025802315.1	-	JAOYMW01	121417	-	-	2022/10/23	2022/10/23	Scaffold	Iridian Genomes	SAMN26583589
Hypophthalmichthys nobilis	7965	PRJNA657698	657698	Animals	Fishes	857.046	37.4562	GCA_019925145.1	linkage group LG01:CM034437.1; linkage group LG02:CM034438.1; linkage group LG03:CM034439.1; linkage group LG04:CM034440.1; linkage group LG05:CM034441.1; linkage group LG06:CM034442.1; linkage group LG07:CM034443.1; linkage group LG08:CM034444.1; linkage group LG09:CM034445.1; linkage group LG10:CM034446.1; linkage group LG11:CM034447.1; linkage group LG12:CM034448.1; linkage group LG13:CM034449.1; linkage group LG14:CM034450.1; linkage group LG15:CM034451.1; linkage group LG16:CM034452.1; linkage group LG17:CM034453.1; linkage group LG18:CM034454.1; linkage group LG19:CM034455.1; linkage group LG20:CM034456.1; linkage group LG21:CM034457.1; linkage group LG22:CM034458.1; linkage group LG23:CM034459.1; linkage group LG24:CM034460.1	JACTVH01	32	-	-	2021/09/10	2021/09/14	Chromosome	Chinese Academy of Sciences	SAMN15835045
Candida albicans	5476	PRJEB51075	809294	Fungi	Ascomycetes	13.7017	33.4	GCA_937870745.1	-	CALMZM01	1779	-	-	2023/01/03	2023/01/08	Contig	European Bioinformatics Institute	SAMEA14036179
Sebastes miniatus	72087	PRJEB42258	754564	Animals	Fishes	793.482	40.7	GCA_916701005.1	-	CAKAMC01	32757	-	-	2021/10/19	2021/10/19	Scaffold	UNIVERSITY OF CALIFORNIA AT BERKELEY	SAMEA7962365
Rhipicephalus microplus	6941	PRJNA674876	674876	Animals	Other Animals	2529.93	45.7731	GCA_013339725.1	chromosome 1:NC_051165.1/CM023459.1; chromosome 2:NC_051166.1/CM023460.1; chromosome 3:NC_051167.1/CM023461.1; chromosome 4:NC_051168.1/CM023462.1; chromosome 5:NC_051169.1/CM023463.1; chromosome 6:NC_051170.1/CM023464.1; chromosome 7:NC_051171.1/CM023465.1; chromosome 8:NC_051172.1/CM023466.1; chromosome 9:NC_051173.1/CM023467.1; chromosome 10:NC_051174.1/CM023468.1; chromosome 11:NC_051175.1/CM023469.1; mitochondrion MT:NC_023335.1/CM023492.1	JABSTU01	7048	28973	24211	2020/06/12	2020/11/10	Chromosome	NCBI	SAMN14941061
Synchiropus splendidus	270530	PRJNA646594	646594	Animals	Fishes	482.926	42.2	GCA_019776025.1	-	JAFFPX01	9210	-	-	2021/08/26	2021/08/26	Scaffold	University of Oregon	SAMN15547574
Aureobasidium pullulans	5580	PRJNA488010	488010	Fungi	Ascomycetes	28.4423	50.6	GCA_004917105.1	-	QZAF01	1396	10532	10532	2019/04/26	2019/04/26	Contig	Biotechnical Faculty, University of Ljubljana	SAMN10031626
Fusarium oxysporum	5507	PRJNA846078	846078	Fungi	Ascomycetes	51.9355	47.4	GCA_025201435.1	-	JAMSCO01	2385	-	-	2022/09/14	2022/09/14	Contig	AGRIBIO, CENTRE FOR AGRIBIOSCIENC	SAMN28868188
Kazachstania telluris	36907	PRJNA542433	542433	Fungi	Ascomycetes	13.8959	31.8	GCA_009394695.1	-	VAPW01	730	-	-	2019/10/30	2019/10/30	Scaffold	University College  Dublin	SAMN11621521
Pyrenophora tritici-repentis	45151	PRJNA315205	315205	Fungi	Ascomycetes	40.9221	50.7386	GCA_003171515.3	chromosome 1:CM025795.1; chromosome 2:CM025796.1; chromosome 3:CM025797.1; chromosome 4:CM025798.2; chromosome 5:CM025799.1; chromosome 6:CM025800.1; chromosome 7:CM025801.1; chromosome 8:CM025802.1; chromosome 9:CM025803.1; chromosome 10:CM025804.1; mitochondrion MT:CM025805.1	NQIK02	41	15458	15458	2018/05/25	2021/10/07	Chromosome	Curtin University	SAMN07420926
Yamadazyma nakazawae	45506	PRJNA429441	429441	Fungi	Ascomycetes	11.0922	37.6	GCA_003706715.1	-	PPMF01	306	-	-	2018/10/31	2018/12/31	Contig	UW-Madison	SAMN08343328
Wickerhamiella nectarea	1720237	PRJNA794368	794368	Fungi	Ascomycetes	8.05631	52.9	GCA_022577815.1	-	JAKIRY01	107	-	-	2022/03/15	2022/03/15	Contig	UCIBIO	SAMN24648685
Penicillium expansum	27334	PRJNA255745	255745	Fungi	Ascomycetes	32.065	47.6	GCA_000769735.1	-	JQFY01	270	11023	11023	2014/10/28	2016/04/13	Contig	Center for Genomic Regulation (CRG)	SAMN02928572
Calonectria ilicicola	182845	PRJNA767210	767210	Fungi	Ascomycetes	75.4451	47.1	GCA_023015445.1	-	JAJIAF01	456	-	-	2022/04/15	2022/04/15	Contig	Beijing Forestry University	SAMN21894377
Buxus sempervirens	4002	PRJEB58115	910066	Plants	Land Plants	676.711	39.1128	GCA_947561395.1	chromosome 1:OX387182.1; chromosome 2:OX387183.1; chromosome 3:OX387184.1; chromosome 4:OX387185.1; chromosome 5:OX387186.1; chromosome 6:OX387187.1; chromosome 7:OX387188.1; chromosome 8:OX387189.1; chromosome 9:OX387190.1; chromosome 10:OX387191.1; chromosome 11:OX387192.1; chromosome 12:OX387193.1; chromosome 13:OX387194.1; chromosome 14:OX387195.1; chromosome 15:OX387196.1	CANNZS01	258	-	-	2022/12/09	2022/12/09	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7522626
Sebastes schlegelii	214486	PRJEB42258	754564	Animals	Fishes	780.301	40.7	GCA_916701485.1	-	CAKANS01	42857	-	-	2021/10/19	2021/10/19	Scaffold	UNIVERSITY OF CALIFORNIA AT BERKELEY	SAMEA7962400
Agrypnus murinus	195168	PRJEB50666	803714	Animals	Insects	1578.52	32.8267	GCA_929113105.1	chromosome 1:OV816024.1; chromosome 2:OV816025.1; chromosome 3:OV816026.1; chromosome 4:OV816027.1; chromosome 5:OV816028.1; chromosome 6:OV816029.1; chromosome 7:OV816030.1; chromosome 8:OV816031.1; chromosome X:OV816023.1; mitochondrion MT:OV816032.1	CAKMYN01	162	-	-	2022/02/09	2022/02/09	Chromosome	WELLCOME SANGER INSTITUTE	SAMEA7701277
Hemicordylus capensis	884348	PRJNA926518	926518	Animals	Reptiles	2294.75	44.813	GCA_027244095.1	chromosome 1:CM050090.1; chromosome 2:CM050091.1; chromosome 3:CM050092.1; chromosome 4:CM050093.1; chromosome 5:CM050094.1; chromosome 6:CM050095.1; chromosome 7:CM050096.1; chromosome 8:CM050097.1; chromosome 9:CM050098.1; chromosome 10:CM050099.1; chromosome 11:CM050100.1; chromosome 12:CM050101.1; chromosome 13:CM050102.1; chromosome 14:CM050103.1; chromosome 15:CM050104.1; chromosome 16:CM050105.1; chromosome 17:CM050106.1	JAPMAM01	44	-	-	2022/12/22	2022/12/22	Chromosome	NCBI	SAMN31669488
Aspergillus fumigatus	746128	PRJNA697844	697844	Fungi	Ascomycetes	28.6828	49.5	GCA_020499865.1	-	JAIBSI01	658	9555	9379	2021/10/14	2021/10/14	Contig	Leibniz-HKI	SAMN17674082
Omalisus fontisbellaquei	350094	PRJEB46387	762819	Animals	Insects	1.52914	31.9	GCA_913698115.1	-	CAJYCR01	91	-	-	2021/09/11	2021/09/11	Contig	UNIVERSITY OF LIVERPOOL	SAMN10345862
Pseudopodoces humilis	181119	PRJNA217046	217046	Animals	Birds	1043	41.8001	GCA_000331425.1	mitochondrion MT:NC_014341.1/	ANZD01	5406	16610	27572	2013/01/09	2014/08/11	Scaffold	NCBI	SAMN02981490
Melitaea cinxia	113334	PRJNA191594	191594	Animals	Insects	389.908	33.6995	GCA_000716385.1	mitochondrion MT:CM002851.1	APLT01	8261	-	-	2014/06/26	2014/09/25	Scaffold	University of Helsinki	SAMN01932438
Linum tenue	586396	PRJEB52918	869008	Plants	Land Plants	684.024	39.1	GCA_946150975.1	-	CAMGYL01	45102	-	-	2022/08/23	2022/09/02	Scaffold	Stockholm University	SAMEA110468786
Sugiyamaella xylanicola (nom. inval.)	1234609	PRJNA354640	354640	Fungi	Ascomycetes	16.6426	46	GCA_001939105.2	-	MQSX02	166	-	-	2017/01/06	2017/06/23	Contig	UFMG - Universidade Federal de Minas Gerais	SAMN06049561
Fusarium oxysporum f. sp. melonis	61369	PRJNA306247	306247	Fungi	Ascomycetes	57.7384	45.5	GCA_001703265.1	-	MAMA01	1727	-	-	2016/08/10	2016/08/10	Scaffold	University of Amsterdam	SAMN04348770
Aphanomyces astaci	112090	PRJNA484796	484796	Protists	Other Protists	53.621	49.8	GCA_003546605.1	-	QUTA01	13420	14311	14311	2018/09/11	2018/09/11	Contig	University of Exeter	SAMN09769275
Meloidogyne incognita	6306	PRJDB9394	641289	Animals	Roundworms	193.15	29.9	GCA_014132215.1	-	BLLR01	374	-	-	2020/06/23	2020/06/23	Contig	Kazusa DNA Research Institute	SAMD00208207
Scleromitrula shiraiana	58908	PRJNA628140	628140	Fungi	Ascomycetes	39.0262	38.9	GCA_028455995.1	-	JABELC01	21	-	-	2023/02/03	2023/02/03	Contig	Southwest University	SAMN14732132
